20,5.41776193141808
40,5.721290612063782
60,5.929019903698838
80,5.933054031968057
100,5.945072917255887
120,5.9316707291323585
140,6.093913646561482
160,6.0226854956431035
180,6.106071100032889
200,6.240961775849308
220,6.053913816635607
240,6.363474999507623
260,6.486793408233323
280,6.548517989022255
300,6.518676629107791
320,6.405994882049517
340,6.595669513502996
360,6.466116860523125
380,8.565362797384202
400,6.55247615945222
420,6.564089744993276
440,5.65187967037539
460,5.440870133438325
480,5.664265771941264
500,5.850774925654507
